id,nom,top,maitre,nat,nat1,title,sexe,mort,auction,auction1,start_year,img,total_amount,media1,surface,date,datesiecle,date20
131,MATISSE Henri,0,0,France,Europe,Danseuse dans le fauteuil  sol en damier,1,1,soth,New-York,2010,99.jpg,18500000,A,D,1942,20th,1940
132,RICHTER Gerhard,0,5,Germany,Europe,Abstraktes Bild,1,2,soth,New-York,2011,100.jpg,18500000,A,D,1997,20th,1990
133,SHI Tao,0,0,China,Chine,Landscape,1,1,autres,Pékin,2011,101.jpg,18355700,D,D,17e,17th,none
134,FONTANA Lucio,0,0,Argentina,Argentine,Concetto Spaziale  la fine di Dio,1,1,soth,Londres,2008,102.jpg,18260160,A,D,1963,20th,1960
135,WARHOL Andy,0,6,USA,Etats-Unis,Sixteen Jackies,1,1,soth,New-York,2011,103.jpg,18000000,C,D,1964,20th,1960
136,BASQUIAT Jean-Michel,0,0,USA,Etats-Unis,Untitled ,1,1,chris,Londres,2012,304.jpg,17906650,A,D,1981,20th,1980
137,WANG Meng,0,0,China,Chine,Landscape,1,1,autres,Pékin,2010,104.jpg,17885200,D,D,14e,14th,none
138,RICHTER Gerhard,0,5,Germany,Europe,Struktur (2),1,2,chris,Londres,2012,305.jpg,17595230,A,D,1989,20th,1980
139,BACON Francis,0,1,Great Britain,Europe,Three Studies for a Self-Portrait,1,1,soth,New-York,2011,105.jpg,17500000,A,D,1967,20th,1960
140,STILL Clyfford,0,0,USA,Etats-Unis,Ph-1033,1,1,soth,New-York,2011,106.jpg,17500000,A,D,1976,20th,1970
141,KOONING de Willem,0,0,USA,Etats-Unis,Abstraction ,1,1,soth,New-York,2012,306.jpg,17500000,A,D,1949,20th,1940
142,WANG Hui,0,0,China,Chine,Landscape inspired by tang poems,1,1,autres,Pékin,2011,107.jpg,17435000,A,D,1710,18th,none
143,GIACOMETTI Alberto,0,2,Switzerland,Europe,L’homme qui chavire,1,1,soth,New-York,2009,108.jpg,17200000,B,D,1950,20th,1950
144,RICHTER Gerhard,0,5,Germany,Europe,Seestüeck (Leicht bewöelkt) ,1,2,chris,New-York,2012,307.jpg,17200000,A,D,1969,20th,1960
